user_id,first_name,last_name,phone,address,city_id
1,Elvin,Zulaika,+62-98-640-3876,Jalan Veteran No. 16,1375
2,Ifa,Haryanto,+62 (029) 023-4608,Gang M.T Haryono No. 1,6471
3,Vicky,Riyanti,+62-21-726-8500,Gang Suryakencana No. 34,1371
4,Mustofa,Suartini,+62-45-631-4242,Jalan PHH. Mustofa No. 7,3171
5,Murti,Sitompul,+62 (0767) 926-3639,Jl. Suryakencana No. 74,3471
6,Umaya,Kuswoyo,(026) 512 5738,Gg. Cikutra Barat No. 372,3578
7,Nadia,Narpati,+62 (12) 047 0782,Jl. Cikutra Timur No. 361,7371
8,Putri,Pradipta,088 108 6454,Jl. Moch. Toha No. 07,1371
9,Dirja,Purnawati,+62 (946) 206-7659,Gg. Kiaracondong No. 84,3173
10,Kurnia,Puspasari,+62 (52) 252 2203,Gg. Pasteur No. 836,3273
11,Timbul,Nashiruddin,+62 (010) 843 3566,Jalan Raya Ujungberung No. 067,3578
12,Laksana,Budiyanto,+62 (96) 846-8652,Gg. Laswi No. 799,3172
13,Kalim,Tarihoran,+62 (0274) 398-8878,Jl. Bangka Raya No. 440,3578
14,Zulfa,Hidayat,0887877641,Jalan Raya Ujungberung No. 9,1375
15,Mahmud,Hastuti,+62-0068-760-6325,Jalan Suryakencana No. 4,3471
16,Lidya,Winarsih,(0812) 418-7975,Jl. Merdeka No. 89,3174
17,Nasim,Budiyanto,0880469366,Jl. Kebonjati No. 548,6471
18,Vanesa,Haryanti,+62-405-576-5394,Jl. Suryakencana No. 563,1371
19,Bagus,Pradana,+62 (021) 189 6428,Gg. Kendalsari No. 224,3172
20,Mahfud,Safitri,+62-015-943-0518,Jl. Lembong No. 0,1371
21,Budi,Najmudin,+62-20-496-4617,Jl. Suryakencana No. 831,3578
22,Chandra,Puspasari,+62 (087) 714 8798,Jalan Kapten Muslihat No. 16,3173
23,Naradi,Sinaga,088 360 3647,Jalan Jakarta No. 2,7371
24,Umi,Siregar,(0897) 684 3958,Jalan Setiabudhi No. 9,3573
25,Samsul,Usamah,+62 (615) 059-2540,Gang W.R. Supratman No. 365,3175
26,Febi,Saefullah,+62-064-666-8612,Jalan Kebonjati No. 48,3172
27,Gatot,Rajata,(023) 093 9602,Gang Dr. Djunjunan No. 165,3175
28,Kasusra,Yuniar,+62-56-952-1608,Jl. Jend. Sudirman No. 6,6471
29,Heru,Kusmawati,+62 (053) 954-9094,Gang Kendalsari No. 739,3273
30,Harja,Pudjiastuti,+62 (010) 774 7513,Gg. S. Parman No. 8,3578
31,Endah,Sudiati,+62 (0321) 078-8126,Gang Wonoayu No. 755,3173
32,Saadat,Sinaga,+62 (0761) 439 3724,Jalan Rungkut Industri No. 134,3573
33,Nadine,Lazuardi,+62 (071) 579-6491,Gang Erlangga No. 854,3174
34,Ozy,Hartati,(069) 635 0924,Gg. K.H. Wahid Hasyim No. 0,1371
35,Eko,Widiastuti,+62 (0011) 848-2162,Gang Waringin No. 790,7371
36,Amelia,Sitompul,+62 (579) 260-8837,Jl. Dipatiukur No. 30,5171
37,Jinawi,Sitorus,(043) 195-4452,Gang Sukajadi No. 83,3174
38,Kenzie,Thamrin,+62 (036) 046 5936,Jl. Rumah Sakit No. 37,6471
39,Shakila,Ramadan,086 905 0307,Gang K.H. Wahid Hasyim No. 025,3174
40,Bahuraksa,Saptono,+62 (014) 349 5737,Jl. Rajawali Timur No. 16,3471
41,Oman,Marpaung,087 869 7079,Gang Kutisari Selatan No. 955,6471
42,Bahuwarna,Pratama,+62 (0376) 833-8563,Gg. Stasiun Wonokromo No. 2,3273
43,Warji,Kusmawati,0861984363,Gg. Veteran No. 593,3171
44,Mulyanto,Aryani,+62 (058) 530 9977,Gang Medokan Ayu No. 265,3172
45,Gangsar,Laksita,+62-61-831-3827,Jl. Pasirkoja No. 730,3578
46,Kurnia,Haryanto,+62-010-693-3840,Gg. Kendalsari No. 900,3273
47,Darman,Gunarto,+62-857-567-2272,Jalan Cihampelas No. 648,6472
48,Siti,Ardianto,(0792) 336 9497,Gg. Jend. A. Yani No. 5,1375
49,Lanjar,Permadi,+62-0068-041-4694,Jalan Rajawali Timur No. 7,1371
50,Kemba,Nasyiah,+62 (0957) 815-1281,Jl. Cikutra Barat No. 96,6472
51,Kambali,Siregar,(0530) 497-0912,Jl. Stasiun Wonokromo No. 908,3175
52,Malik,Usamah,(068) 183 5848,Jl. Pasirkoja No. 6,3174
53,Catur,Hasanah,(0888) 790-1473,Gang Wonoayu No. 8,6471
54,Enteng,Irawan,+62 (0037) 712-3055,Gg. Gegerkalong Hilir No. 7,3173
55,Puji,Simbolon,(085) 225 5370,Jalan Medokan Ayu No. 0,3471
56,Prabu,Mangunsong,+62 (081) 507-7329,Gg. M.H Thamrin No. 6,1375
57,Ian,Nasyidah,+62-085-656-9927,Gang Jend. Sudirman No. 236,3573
58,Jindra,Pratiwi,+62 (452) 546 9474,Gang Asia Afrika No. 068,3173
59,Halim,Saptono,+62 (0401) 693-6133,Gg. Cihampelas No. 192,3171
60,Gasti,Tamba,(0069) 814-4584,Jalan Pasir Koja No. 730,7371
61,Daruna,Budiman,+62-966-110-5241,Jl. Lembong No. 00,3174
62,Labuh,Kurniawan,+62-049-074-7953,Jl. Ciwastra No. 58,3273
63,Putri,Dabukke,(0087) 655 0026,Jl. Suniaraja No. 357,3471
64,Ami,Purnawati,+62 (94) 303 6865,Gg. Kutisari Selatan No. 888,3471
65,Kariman,Prayoga,(017) 008-5141,Jl. Surapati No. 776,3471
66,Hasta,Wasita,+62-0152-720-5498,Jl. Pacuan Kuda No. 617,3471
67,Garan,Firgantoro,+62 (0434) 828-4008,Gang Sukajadi No. 1,1371
68,Uli,Usada,(052) 095-6950,Gg. Cihampelas No. 8,6471
69,Bakijan,Anggriawan,0834392242,Gg. Rumah Sakit No. 431,3171
70,Umi,Megantara,+62 (016) 394 5781,Gg. Yos Sudarso No. 204,1371
71,Soleh,Agustina,+62 (872) 760 8349,Gg. Tubagus Ismail No. 324,6472
72,Jasmani,Simanjuntak,+62-53-217-6242,Gg. Pasteur No. 573,3172
73,Reza,Pudjiastuti,(0465) 937-4229,Jl. Jamika No. 33,3273
74,Rahmi,Padmasari,+62 (0564) 493-5551,Gang Medokan Ayu No. 958,3174
75,Nurul,Utama,0829993524,Jl. Monginsidi No. 309,1371
76,Salwa,Pradipta,+62-020-399-2647,Gang K.H. Wahid Hasyim No. 67,6472
77,Mahdi,Halim,0879419270,Gang Cihampelas No. 8,1375
78,Natalia,Wibowo,+62 (0250) 426 8003,Jl. Kiaracondong No. 9,3174
79,Garan,Utama,+62-384-339-1611,Gang Pasteur No. 4,3471
80,Lasmanto,Palastri,+62 (79) 733 3991,Gg. PHH. Mustofa No. 65,3172
81,Ira,Prasasta,+62 (729) 397-8222,Jalan Dipenogoro No. 22,6471
82,Hadi,Nababan,0828392710,Jl. Moch. Ramdan No. 057,1371
83,Putri,Agustina,(015) 166 7079,Jalan Kebonjati No. 779,3175
84,Indah,Nasyidah,(0646) 495 6173,Jalan Ciwastra No. 708,3173
85,Caturangga,Novitasari,+62-0094-107-5312,Jalan Lembong No. 120,5171
86,Ilsa,Jailani,(0638) 900-2117,Gang Kutisari Selatan No. 871,6472
87,Raina,Laksmiwati,+62 (819) 197-5322,Gg. Cikutra Barat No. 59,3172
88,Cengkal,Siregar,0889734273,Gg. M.H Thamrin No. 4,6472
89,Ajiono,Samosir,+62 (060) 546-1425,Gang Kutisari Selatan No. 36,1375
90,Fitriani,Suwarno,+62-0740-251-0024,Gg. Sadang Serang No. 461,6472
91,Capa,Mangunsong,(0578) 644-9868,Jl. Antapani Lama No. 645,3471
92,Wirda,Kuswoyo,(057) 107 0059,Gg. Soekarno Hatta No. 4,6472
